item_id,question_slot,question_idx,display_letter,model,state,variant,condition,source_file,composite_score,factual_accuracy,relevance,conciseness,no_hallucination
Q05_C,5,26,C,qwen3-14B-grpo,base,fewshot,base_fewshot,fine-tuning/qwen3-14B-grpo/results/eval_base_fewshot.csv,0.576667,2.6667,3.6667,2.6667,2.3333
Q05_D,5,26,D,mistral-nemo-12b-grpo,finetuned,rag_fewshot,finetuned_rag_fewshot,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_rag_fewshot.csv,1.0,5.0,5.0,5.0,5.0
Q05_E,5,26,E,mistral-nemo-12b-grpo,finetuned,rag,finetuned_rag,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_rag.csv,0.713333,3.3333,4.0,4.0,3.3333
Q06_A,6,30,A,gemma3-12b-grpo,base,rag,base_rag,fine-tuning/gemma3-12b-grpo/results/eval_base_rag.csv,0.453333,2.0,2.0,3.6667,3.0
Q06_B,6,30,B,mistral-nemo-12b-grpo,finetuned,fewshot,finetuned_fewshot,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_fewshot.csv,1.0,5.0,5.0,5.0,5.0
Q06_C,6,30,C,gemma3-12b-grpo,base,sysprompt_rag_fewshot,base_sysprompt_rag_fewshot,fine-tuning/gemma3-12b-grpo/results/eval_base_sysprompt_rag_fewshot.csv,0.313333,0.3333,1.6667,4.6667,5.0
Q06_D,6,30,D,qwen3-14B-grpo,base,sysprompt,base_sysprompt,fine-tuning/qwen3-14B-grpo/results/eval_base_sysprompt.csv,0.833333,4.3333,4.3333,3.0,4.0
Q06_E,6,30,E,qwen3-14B-grpo,finetuned,sysprompt_rag,finetuned_sysprompt_rag,fine-tuning/qwen3-14B-grpo/results/eval_finetuned_sysprompt_rag.csv,0.62,3.0,3.0,2.6667,4.3333
Q07_A,7,32,A,gemma3-12b-grpo,base,plain,base_plain,fine-tuning/gemma3-12b-grpo/results/eval_base_plain.csv,0.623333,3.0,3.3333,3.0,3.3333
Q07_B,7,32,B,mistral-nemo-12b-grpo,finetuned,sysprompt_rag_fewshot,finetuned_sysprompt_rag_fewshot,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_sysprompt_rag_fewshot.csv,1.0,5.0,5.0,5.0,5.0
Q07_C,7,32,C,mistral-nemo-12b-grpo,finetuned,plain,finetuned_plain,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_plain.csv,0.72,3.6667,3.6667,3.3333,3.3333
Q07_D,7,32,D,gemma3-12b-grpo,base,sysprompt_fewshot,base_sysprompt_fewshot,fine-tuning/gemma3-12b-grpo/results/eval_base_sysprompt_fewshot.csv,0.816667,3.6667,4.6667,5.0,4.0
Q07_E,7,32,E,qwen3-14B-grpo,base,sysprompt_rag_fewshot,base_sysprompt_rag_fewshot,fine-tuning/qwen3-14B-grpo/results/eval_base_sysprompt_rag_fewshot.csv,0.88,4.3333,5.0,3.6667,4.0
Q08_A,8,39,A,qwen3-14B-grpo,base,plain,base_plain,fine-tuning/qwen3-14B-grpo/results/eval_base_plain.csv,0.07,0.0,0.3333,2.0,0.6667
Q08_B,8,39,B,qwen3-14B-grpo,base,sysprompt_fewshot,base_sysprompt_fewshot,fine-tuning/qwen3-14B-grpo/results/eval_base_sysprompt_fewshot.csv,0.766667,4.0,4.0,3.0,3.3333
Q08_C,8,39,C,qwen3-14B-grpo,finetuned,plain,finetuned_plain,fine-tuning/qwen3-14B-grpo/results/eval_finetuned_plain.csv,0.636667,3.0,3.3333,3.6667,3.3333
Q08_D,8,39,D,gemma3-12b-grpo,finetuned,rag_fewshot,finetuned_rag_fewshot,fine-tuning/gemma3-12b-grpo/results/eval_finetuned_rag_fewshot.csv,1.0,5.0,5.0,5.0,5.0
Q08_E,8,39,E,qwen3-14B-grpo,base,fewshot,base_fewshot,fine-tuning/qwen3-14B-grpo/results/eval_base_fewshot.csv,0.576667,2.6667,3.6667,2.6667,2.3333
Q09_A,9,45,A,qwen3-14B-grpo,finetuned,plain,finetuned_plain,fine-tuning/qwen3-14B-grpo/results/eval_finetuned_plain.csv,0.95,5.0,4.6667,3.3333,5.0
Q09_B,9,45,B,mistral-nemo-12b-grpo,finetuned,plain,finetuned_plain,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_plain.csv,0.896667,4.3333,4.6667,4.6667,4.6667
Q09_C,9,45,C,mistral-nemo-12b-grpo,finetuned,sysprompt_rag_fewshot,finetuned_sysprompt_rag_fewshot,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_sysprompt_rag_fewshot.csv,0.866667,4.3333,4.3333,4.3333,4.3333
Q09_D,9,45,D,gemma3-12b-grpo,finetuned,sysprompt_rag_fewshot,finetuned_sysprompt_rag_fewshot,fine-tuning/gemma3-12b-grpo/results/eval_finetuned_sysprompt_rag_fewshot.csv,1.0,5.0,5.0,5.0,5.0
Q09_E,9,45,E,qwen3-14B-grpo,base,rag,base_rag,fine-tuning/qwen3-14B-grpo/results/eval_base_rag.csv,0.783333,4.0,3.6667,3.3333,4.6667
Q10_A,10,48,A,gemma3-12b-grpo,base,plain,base_plain,fine-tuning/gemma3-12b-grpo/results/eval_base_plain.csv,0.393333,1.6667,2.3333,2.0,2.6667
Q10_B,10,48,B,mistral-nemo-12b-grpo,finetuned,plain,finetuned_plain,fine-tuning/mistral-nemo-12b-grpo/results/eval_finetuned_plain.csv,0.276667,1.0,1.3333,2.6667,2.3333
Q10_C,10,48,C,gemma3-12b-grpo,base,rag,base_rag,fine-tuning/gemma3-12b-grpo/results/eval_base_rag.csv,0.046667,0.0,0.0,1.0,1.3333
Q10_D,10,48,D,qwen3-14B-grpo,finetuned,sysprompt,finetuned_sysprompt,fine-tuning/qwen3-14B-grpo/results/eval_finetuned_sysprompt.csv,0.876667,4.3333,4.6667,3.6667,4.6667
Q10_E,10,48,E,gemma3-12b-grpo,base,sysprompt_fewshot,base_sysprompt_fewshot,fine-tuning/gemma3-12b-grpo/results/eval_base_sysprompt_fewshot.csv,1.0,5.0,5.0,5.0,5.0
